,url,first_publish,status,comment_ammount,score_amount,catagory,latest_chapterNumber
鬼灭之刃,https://www.manhuagui.com/comic/19430/,2016年,已完结,3728,13108,"['冒险', '热血']",206
斗破苍穹,https://www.manhuagui.com/comic/7620/,2012年,连载中,0,16010,"['热血', '格斗', '武侠']",364
斗罗大陆,https://www.manhuagui.com/comic/7382/,2010年,连载中,0,11253,"['魔幻', '魔法', '格斗', '武侠']",7491
一拳超人,https://www.manhuagui.com/comic/7580/,2009年,连载中,0,9670,"['搞笑', '格斗', '武侠']",221
百炼成神,https://www.manhuagui.com/comic/19785/,2015年,连载中,0,4490,"['冒险', '魔幻']",901
妖神记,https://www.manhuagui.com/comic/17965/,2015年,连载中,0,9687,"['热血', '冒险', '魔幻']",375
ONE PIECE航海王,https://www.manhuagui.com/comic/1128/,1997年,连载中,0,7531,"['热血', '冒险', '格斗']",1069
全职法师,https://www.manhuagui.com/comic/29821/,2018年,连载中,0,2619,"['热血', '校园']",853
关于我转生后成为史莱姆的那件事,https://www.manhuagui.com/comic/17023/,2015年,连载中,0,13509,"['冒险', '魔幻']",102
纯情丫头火辣辣,https://www.manhuagui.com/comic/19300/,2015年,连载中,0,7353,"['爱情', '搞笑']",450
星武神诀,https://www.manhuagui.com/comic/20568/,2016年,连载中,0,5648,"['热血', '冒险', '魔幻']",543
七大罪,https://www.manhuagui.com/comic/7708/,2013年,已完结,0,9684,"['热血', '冒险']",346
入间同学入魔了,https://www.manhuagui.com/comic/23394/,2017年,连载中,0,7891,"['魔法', '搞笑']",280
我的英雄学院,https://www.manhuagui.com/comic/13885/,2014年,连载中,0,5879,"['冒险', '热血']",367
失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～,https://www.manhuagui.com/comic/25190/,2017年,连载中,0,5494,"['冒险', '魔幻', '魔法']",66
从前有座灵剑山,https://www.manhuagui.com/comic/17102/,2015年,连载中,0,2939,"['魔幻', '格斗', '搞笑']",766
豪门天价前妻,https://www.manhuagui.com/comic/24007/,2017年,连载中,0,5607,['爱情'],772
黑色五叶草,https://www.manhuagui.com/comic/16460/,2015年,连载中,0,2952,['冒险'],345
绝世唐门,https://www.manhuagui.com/comic/8356/,2013年,连载中,0,9959,"['魔幻', '格斗', '武侠']",5812
辉夜姬想让人告白~天才们的恋爱头脑战~,https://www.manhuagui.com/comic/17332/,2015年,连载中,0,9780,['爱情'],271
咒术回战,https://www.manhuagui.com/comic/28004/,2018年,连载中,0,4704,"['冒险', '魔幻']",206
王者天下,https://www.manhuagui.com/comic/4841/,2006年,连载中,0,2833,"['战争', '历史']",742
一拳超人原作版,https://www.manhuagui.com/comic/9637/,2013年,连载中,0,2699,"['搞笑', '格斗', '武侠']",141
Dr.STONE,https://www.manhuagui.com/comic/23270/,2017年,连载中,0,3878,"['冒险', '魔幻']",232
灵剑尊,https://www.manhuagui.com/comic/25151/,2017年,连载中,0,2017,"['冒险', '热血', '搞笑']",502
国民老公带回家：偷吻55次,https://www.manhuagui.com/comic/20579/,2016年,已完结,0,4380,['爱情'],0
东京喰种RE,https://www.manhuagui.com/comic/16058/,2014年,已完结,0,8207,"['冒险', '科幻', '格斗']",179
校花的贴身高手,https://www.manhuagui.com/comic/25956/,2017年,连载中,0,1758,"['搞笑', '爱情', '后宫']",426
平行天堂,https://www.manhuagui.com/comic/23333/,2017年,连载中,0,3689,['魔幻'],426
绝世武神,https://www.manhuagui.com/comic/22058/,2016年,连载中,0,1925,"['热血', '冒险', '格斗']",1553
五等分的花嫁,https://www.manhuagui.com/comic/22843/,2017年,连载中,0,7717,"['后宫', '爱情', '校园']",1221
进击的巨人,https://www.manhuagui.com/comic/4740/,2009年,连载中,0,5160,"['热血', '冒险']",1221
哥布林杀手,https://www.manhuagui.com/comic/20515/,2016年,连载中,0,4051,"['冒险', '魔法']",1221
间谍过家家,https://www.manhuagui.com/comic/31550/,2019年,连载中,0,8448,['治愈'],1221
家有女友,https://www.manhuagui.com/comic/12912/,2014年,已完结,0,3758,['爱情'],1221
转生贤者的异世界生活~取得副职业并成为世界最强,https://www.manhuagui.com/comic/30278/,2018年,连载中,0,3072,['冒险'],53
排球少年！！,https://www.manhuagui.com/comic/4723/,2012年,已完结,0,4443,"['竞技', '体育']",402
神印王座,https://www.manhuagui.com/comic/7896/,2013年,连载中,0,3682,['魔幻'],455
拳愿奥米迦,https://www.manhuagui.com/comic/30782/,2019年,连载中,0,1872,"['格斗', '竞技']",188
我的双修道侣,https://www.manhuagui.com/comic/17749/,2015年,连载中,0,1979,"['冒险', '魔幻']",697
约定的梦幻岛,https://www.manhuagui.com/comic/21142/,2016年,已完结,0,3469,"['冒险', '科幻', '悬疑']",185
万界仙踪,https://www.manhuagui.com/comic/26492/,2017年,连载中,0,1547,"['冒险', '热血', '魔幻']",452
转生成蜘蛛又怎样！,https://www.manhuagui.com/comic/19258/,2016年,连载中,0,3682,['魔幻'],83
我家大师兄脑子有坑,https://www.manhuagui.com/comic/18151/,2015年,连载中,0,7169,"['搞笑', '魔幻']",418
东京卍复仇者,https://www.manhuagui.com/comic/31208/,2019年,连载中,0,3082,"['爱情', '悬疑']",278
惹上首席总裁,https://www.manhuagui.com/comic/24510/,2017年,已完结,0,2281,['爱情'],2
食戟之灵,https://www.manhuagui.com/comic/2863/,2012年,已完结,0,2833,"['励志', '职场', '美食']",315
一人之下,https://www.manhuagui.com/comic/26692/,2017年,连载中,0,932,"['魔幻', '格斗', '搞笑']",571
古惑仔,https://www.manhuagui.com/comic/8928/,1992年,连载中,0,1088,"['格斗', '社会', '热血', '黑道']",2058
拳愿阿修罗,https://www.manhuagui.com/comic/15248/,2013年,连载中,0,1186,"['竞技', '职场']",236
